dia,hora,cep,taxa_bool,pouso_atrasado
1,07:21:00,81480125,NÃO,NÃO
1,09:11:00,81850712,NÃO,NÃO
1,10:57:00,82315390,NÃO,NÃO
1,12:46:00,81110070,NÃO,NÃO
1,14:27:00,82700410,NÃO,NÃO
1,16:13:00,82020770,NÃO,NÃO
1,18:04:00,82840140,SIM,NÃO
2,06:44:00,82810080,NÃO,NÃO
2,08:34:00,81470055,NÃO,NÃO
2,10:26:00,82821016,NÃO,NÃO
2,12:18:00,81920735,NÃO,NÃO
2,14:10:00,80820500,NÃO,NÃO
2,15:57:00,81710380,NÃO,NÃO
2,17:42:00,82700540,SIM,NÃO
3,06:20:00,81550315,NÃO,NÃO
3,08:11:00,82860360,NÃO,NÃO
3,10:03:00,82960200,NÃO,NÃO
3,11:54:00,80820520,NÃO,NÃO
3,13:46:00,80510360,NÃO,NÃO
3,15:34:00,82015100,NÃO,NÃO
3,17:24:00,82520150,SIM,NÃO
4,06:16:00,82520040,NÃO,NÃO
4,08:06:00,81280125,NÃO,NÃO
4,09:59:00,82930390,NÃO,NÃO
4,11:50:00,82130282,NÃO,NÃO
4,13:42:00,81150330,NÃO,NÃO
4,15:28:00,82130162,NÃO,NÃO
4,17:16:00,81570360,SIM,NÃO
5,06:00:00,80250220,NÃO,NÃO
5,07:45:00,80215650,NÃO,NÃO
5,09:31:00,82100470,NÃO,NÃO
5,11:22:00,80730270,NÃO,NÃO
5,13:09:00,81240490,NÃO,NÃO
5,14:58:00,80030430,NÃO,NÃO
5,16:48:00,81350686,NÃO,NÃO
5,18:39:00,81880380,SIM,NÃO
6,07:14:00,81570001,NÃO,NÃO
6,09:04:00,82130580,NÃO,NÃO
6,10:54:00,81020420,NÃO,NÃO
6,12:45:00,82025101,NÃO,NÃO
6,14:30:00,81460239,NÃO,NÃO
6,16:22:00,81590340,NÃO,NÃO
6,18:06:00,81210070,SIM,NÃO
7,06:44:00,81820330,NÃO,NÃO
7,08:33:00,82630290,NÃO,NÃO
7,10:24:00,82640400,NÃO,NÃO
7,12:14:00,81590270,NÃO,NÃO
7,14:06:00,81610020,NÃO,NÃO
7,15:54:00,81470340,NÃO,NÃO
7,17:42:00,81170065,SIM,NÃO
