CEP inicial,Latitude inicial,Longitude inicial,Dia do vôo,Hora inicial,Velocidade,CEP final,Latitude final,Longitude final,Pouso,Hora final
82821020,-25.4233146347775,-49.2160678044742,1,06:00:00,96,82650060,-25.3808622827653,-49.242762203191,SIM,06:03:00
82650060,-25.3808622827653,-49.242762203191,1,06:04:00,96,82860360,-25.3827108510463,-49.1953359321141,SIM,06:06:00
82860360,-25.3827108510463,-49.1953359321141,1,06:07:00,96,82310433,-25.43107,-49.372483,SIM,06:21:00
82310433,-25.43107,-49.372483,1,06:22:00,96,80310110,-25.4618760201347,-49.3131981040754,SIM,06:25:00
80310110,-25.4618760201347,-49.3131981040754,1,06:26:00,96,81070310,-25.4777156282764,-49.3079769301493,SIM,06:27:00
81070310,-25.4777156282764,-49.3079769301493,1,06:28:00,96,81570010,-25.4740384750357,-49.2379956248079,SIM,06:31:00
81570010,-25.4740384750357,-49.2379956248079,1,06:32:00,96,81850650,-25.5414905884625,-49.2439315883873,SIM,06:37:00
81850650,-25.5414905884625,-49.2439315883873,1,06:38:00,96,80330120,-25.4711980670357,-49.3106388116797,SIM,06:44:00
80330120,-25.4711980670357,-49.3106388116797,1,06:45:00,96,81452334,-25.5061884000766,-49.3539056000423,SIM,06:49:00
81452334,-25.5061884000766,-49.3539056000423,1,06:50:00,96,81030370,-25.4881800174281,-49.2756635796428,SIM,06:54:00
81030370,-25.4881800174281,-49.2756635796428,1,06:55:00,96,81470340,-25.5784518706724,-49.3362378687666,SIM,07:03:00
81470340,-25.5784518706724,-49.3362378687666,1,07:04:00,96,80520550,-25.403621771614,-49.2770964271839,SIM,07:15:00
80520550,-25.403621771614,-49.2770964271839,1,07:16:00,96,82115020,-25.3852616256441,-49.2858709374701,SIM,07:17:00
82115020,-25.3852616256441,-49.2858709374701,1,07:18:00,36,81490620,-25.6132684714507,-49.3349370738516,SIM,08:09:00
81490620,-25.6132684714507,-49.3349370738516,1,08:10:00,96,81110522,-25.5094403220237,-49.2915096538449,SIM,08:16:00
81110522,-25.5094403220237,-49.2915096538449,1,08:17:00,96,82700410,-25.3740192069561,-49.2513782763024,SIM,08:25:00
82700410,-25.3740192069561,-49.2513782763024,1,08:26:00,96,81670110,-25.4977016024349,-49.2505578410785,SIM,08:35:00
81670110,-25.4977016024349,-49.2505578410785,1,08:36:00,36,81935303,-25.5548054287395,-49.2658406002244,SIM,08:49:00
81935303,-25.5548054287395,-49.2658406002244,1,08:50:00,96,81710590,-25.5021303917908,-49.2606525653797,SIM,08:53:00
81710590,-25.5021303917908,-49.2606525653797,1,08:54:00,96,80045160,-25.4227240373025,-49.257747950136,SIM,08:59:00
80045160,-25.4227240373025,-49.257747950136,1,09:00:00,96,81200160,-25.4320014000022,-49.3213627999599,SIM,09:04:00
81200160,-25.4320014000022,-49.3213627999599,1,09:05:00,96,82010390,-25.4282395714462,-49.3275682857714,SIM,09:05:00
82010390,-25.4282395714462,-49.3275682857714,1,09:06:00,96,81520300,-25.4623570695212,-49.2422078636873,SIM,09:11:00
81520300,-25.4623570695212,-49.2422078636873,1,09:12:00,96,82650470,-25.3694403145923,-49.2428589272921,SIM,09:18:00
82650470,-25.3694403145923,-49.2428589272921,1,09:19:00,96,82990000,-25.4637044472508,-49.198121637253,SIM,09:25:00
82990000,-25.4637044472508,-49.198121637253,1,09:26:00,96,81870352,-25.5241770000303,-49.2937684998992,SIM,09:34:00
81870352,-25.5241770000303,-49.2937684998992,1,09:35:00,96,81935113,-25.5499175384761,-49.253610923113,SIM,09:37:00
