CEP inicial,Latitude inicial,Longitude inicial,Dia do vôo,Hora inicial,Velocidade,CEP final,Latitude final,Longitude final,Pouso,Hora final
82821020,-25.4233146347775,-49.2160678044742,1,06:00:00,36,81490280,-25.5975675014877,-49.3235433911466,SIM,06:53:00
81490280,-25.5975675014877,-49.3235433911466,1,06:54:00,36,81470346,-25.5796239000291,-49.33524810001,SIM,06:57:00
81470346,-25.5796239000291,-49.33524810001,1,06:58:00,36,80035230,-25.4008064386385,-49.2512257402299,SIM,07:24:00
80035230,-25.4008064386385,-49.2512257402299,1,07:25:00,36,81050411,-25.482982,-49.305864,SIM,07:51:00
81050411,-25.482982,-49.305864,1,07:52:00,36,81470300,-25.575776177431,-49.3365443994341,SIM,08:14:00
81470300,-25.575776177431,-49.3365443994341,1,08:15:00,36,80210400,-25.4463780000737,-49.2468984999865,SIM,08:35:00
80210400,-25.4463780000737,-49.2468984999865,1,08:36:00,36,81510160,-25.4561970876697,-49.2447744337813,SIM,08:37:00
81510160,-25.4561970876697,-49.2447744337813,1,08:38:00,36,81330400,-25.488124875843,-49.3264242140685,SIM,09:06:00
81330400,-25.488124875843,-49.3264242140685,1,09:07:00,36,81250720,-25.4815524899573,-49.3385838295334,SIM,09:10:00
81250720,-25.4815524899573,-49.3385838295334,1,09:11:00,36,81570092,-25.47733771481,-49.2394309559741,SIM,09:22:00
81570092,-25.47733771481,-49.2394309559741,1,09:23:00,36,82930390,-25.4608672106041,-49.2047594214569,SIM,09:27:00
82930390,-25.4608672106041,-49.2047594214569,1,09:28:00,36,81550315,-25.4881320075695,-49.208315008611,SIM,09:32:00
81550315,-25.4881320075695,-49.208315008611,1,09:33:00,36,81020420,-25.4920196819718,-49.2840872729491,SIM,09:58:00
81020420,-25.4920196819718,-49.2840872729491,1,09:59:00,36,81530380,-25.4625848305665,-49.2300931009572,SIM,10:06:00
81530380,-25.4625848305665,-49.2300931009572,1,10:07:00,36,82860360,-25.3827108510463,-49.1953359321141,SIM,10:19:00
82860360,-25.3827108510463,-49.1953359321141,1,10:20:00,36,82650060,-25.3808622827653,-49.242762203191,SIM,10:35:00
82650060,-25.3808622827653,-49.242762203191,1,10:36:00,36,80740199,-25.4437465384921,-49.3130473847111,SIM,10:58:00
80740199,-25.4437465384921,-49.3130473847111,1,10:59:00,36,80010200,-25.4499691308346,-49.2748090324017,SIM,11:03:00
80010200,-25.4499691308346,-49.2748090324017,1,11:04:00,36,82950220,-25.4538040386831,-49.2173702690989,SIM,11:10:00
82950220,-25.4538040386831,-49.2173702690989,1,11:11:00,36,80820520,-25.4127105464884,-49.2963300390619,SIM,11:35:00
80820520,-25.4127105464884,-49.2963300390619,1,11:36:00,36,82600640,-25.3981885762214,-49.2162511520761,SIM,11:45:00
82600640,-25.3981885762214,-49.2162511520761,1,11:46:00,36,81470256,-25.569416591018,-49.337872181861,SIM,12:30:00
81470256,-25.569416591018,-49.337872181861,1,12:31:00,36,82020560,-25.401157660715,-49.3241349981993,SIM,12:57:00
82020560,-25.401157660715,-49.3241349981993,1,12:58:00,36,81540160,-25.4663186667815,-49.2166009443659,SIM,13:12:00
81540160,-25.4663186667815,-49.2166009443659,1,13:13:00,36,81310370,-25.5005119473929,-49.3186624209516,SIM,13:46:00
81310370,-25.5005119473929,-49.3186624209516,1,13:47:00,36,81470290,-25.5737515550149,-49.3412589936849,SIM,14:01:00
81470290,-25.5737515550149,-49.3412589936849,1,14:02:00,36,81480216,-25.5592031642591,-49.3274865425991,SIM,14:04:00
81480216,-25.5592031642591,-49.3274865425991,1,14:05:00,36,81350607,-25.5098119631631,-49.3366327775834,SIM,14:13:00
81350607,-25.5098119631631,-49.3366327775834,1,14:14:00,36,81260412,-25.4811505865638,-49.3545312407406,SIM,14:21:00
81260412,-25.4811505865638,-49.3545312407406,1,14:22:00,36,82025101,-25.4089804447922,-49.3131316666906,SIM,14:33:00
82025101,-25.4089804447922,-49.3131316666906,1,14:34:00,36,81460210,-25.5323146848334,-49.3335573678969,SIM,14:55:00
81460210,-25.5323146848334,-49.3335573678969,1,14:56:00,36,81490620,-25.6132684714507,-49.3349370738516,SIM,15:09:00
81490620,-25.6132684714507,-49.3349370738516,1,15:10:00,36,81560570,-25.4943561601417,-49.2107486004445,SIM,15:31:00
81560570,-25.4943561601417,-49.2107486004445,1,15:32:00,36,80035210,-25.4018593540355,-49.2501065029327,SIM,15:51:00
80035210,-25.4018593540355,-49.2501065029327,1,15:52:00,36,82510100,-25.409050749392,-49.2385843936,SIM,15:53:00
82510100,-25.409050749392,-49.2385843936,1,15:54:00,36,81110070,-25.5038132404982,-49.2938690633352,SIM,16:16:00
81110070,-25.5038132404982,-49.2938690633352,1,16:17:00,36,81610020,-25.4773976954983,-49.2479963707565,SIM,16:23:00
81610020,-25.4773976954983,-49.2479963707565,1,16:24:00,36,81770160,-25.5296962833892,-49.244546883763,SIM,16:32:00
81770160,-25.5296962833892,-49.244546883763,1,16:33:00,36,81590568,-25.4865484092882,-49.1981543961654,SIM,16:40:00
81590568,-25.4865484092882,-49.1981543961654,1,16:41:00,36,80730430,-25.430157,-49.293614,SIM,17:11:00
80730430,-25.430157,-49.293614,1,17:12:00,36,81720360,-25.5259885359266,-49.2525244997371,SIM,17:26:00
81720360,-25.5259885359266,-49.2525244997371,1,17:27:00,36,82520590,-25.4131761050287,-49.2261971905551,SIM,17:44:00
82520590,-25.4131761050287,-49.2261971905551,1,17:45:00,36,81280048,-25.4357441112655,-49.361230111158,SIM,18:31:00
81280048,-25.4357441112655,-49.361230111158,1,18:32:00,36,82410316,-25.3849215000131,-49.328439749977,SIM,18:39:00
82410316,-25.3849215000131,-49.328439749977,1,18:40:00,36,82700540,-25.3703488003616,-49.2570179996848,SIM,18:47:00
82700540,-25.3703488003616,-49.2570179996848,1,18:48:00,36,82820460,-25.4179465264684,-49.2222826851176,SIM,18:55:00
82820460,-25.4179465264684,-49.2222826851176,1,18:56:00,36,81330550,-25.4845347422664,-49.323856720273,SIM,19:28:00
81330550,-25.4845347422664,-49.323856720273,2,06:00:00,36,81170762,-25.51557721054,-49.3290638947933,SIM,06:05:00
81170762,-25.51557721054,-49.3290638947933,2,06:06:00,36,80740620,-25.4417320478243,-49.3156172471767,SIM,06:17:00
80740620,-25.4417320478243,-49.3156172471767,2,06:18:00,36,81350320,-25.4992029361912,-49.3318588311607,SIM,06:28:00
81350320,-25.4992029361912,-49.3318588311607,2,06:29:00,36,81200390,-25.4331374954389,-49.3440640772759,SIM,06:40:00
81200390,-25.4331374954389,-49.3440640772759,2,06:41:00,36,81490010,-25.6154928550559,-49.3537353191769,SIM,07:11:00
